NombreComun,count
Nitzschia sigmoidea (Nitsch) W. Smith,4
Nitzschia sublinearis Hustedt,4
Cymbella affinis Kützing,4
Cymbella cistula (Ehrenberg) O.Kirchner,4
Gomphonema cf augur Ehrenberg,4
Gomphonema kociolekii R.Jahn & N.Abarca,4
Gomphonema intricatum Kützing,4
Gomphonema truncatum Ehrenberg,4
Placoneis dicephala (Ehrenberg) Mereschkowsky,4
Rhoicosphenia abbreviata (C.Agardh) Lange-Bertalot,4
Frustulia vulgaris (Thwaites) De Toni,4
Stauroneis sp.,4
Pinnularia sp,4
Pinnularia subcapitata W.Gregory,4
Diatoma vulgaris Bory,4
Epithemia sorex Kützing,4
Surirella angusta Kützing,4
Amphora sp.,4
Tribonema sp.,4
Tetraëdron minimum (A.Braun) Hansgirg,4
Phacus sp.,4
Pseudanabaena sp.,4
Oscillatoria sp.,4
Phormidium sp.,4
Desmodesmus communis (E. Hegewald) E. Hegewald,4
Staurastrum sp.,4
Melosira sp.,4
Cryptomonas ovata Ehrenberg,4
Plagioselmis lacustris (Pascher & Ruttner) Javornicky,4
Ceratium hirundinella (O.F.Müller) Dujardin,4
Monoraphidium cf. griffithii,4
Tetraëdron trigonum (Nägeli) Hansgirg,4
Closterium sp.,4
Aphanocapsa sp.,4
Nitzschia kuetzingiana Hilse,4
Verbena púrpura,4
Hierba de San Roberto,4
Carmelita de concepción,4
Galaxia,4
Carpa,4
CLADOCERO,4
Arrayán,4
Lagarto chileno,4
Roedor indeterminado,4
Golondrina,4
Garza Boyera,4
Laucha,4
Caracol,4
Pato jergon chico,4
aguilucho,4
tordo,4
golondrina chilena,4
gaviota dominicana,4
Fio fío,4
Rana de antifaz,4
Pitao,4
lagarto chileno,3
Golondrina Común,3
Pato jergón,3
sardina común,3
merluza común,3
Lamprea de bolsa,3
Larva de Cyplis,3
Paloma doméstica,3
Sapito de 4 ojos,3
Fíofío,3
Murciélago oreja de ratón,3
Cachaña,3
Pitio,3
Pejerrey Chileno,3
sapito rosado,3
Cauque,3
Siete venas,3
Aguilucho común,3
Lagartija de Schröeder,3
Pino oregón,3
Roble español,3
Cormorán yeco,3
Histiotus indeterminado,3
Pequén,3
Bailarin,3
Lagartija Esbelta,3
Lagartija de vientre azul,3
Sapo de Nabuelbuta,3
Chirihue común,3
Runrun,3
cernícalo,3
Buitre,3
picaflor chico,3
Saltamontos,3
Mosca del vinagre,3
Escarabajo,3
"Puyecito, puye rojo",2
pampanito,2
pejesapo,2
Carpa común,2
Larva de Cypris,2
Bandurrilla,2
Murciélago orejudo austral,2
ANFIPODO,2
Tortola Cuyana,2
Tello de agua dulce,2
Cangrejo pequeño,2
Lechuguilla,2
Rosa mosqueta,2
Aliso europeo,2
Iquide,2
Puye rojo,2
Rábano silvestre,2
Ortiga,2
Bagrecito pintado,2
Almeja taquilla,2
Bailarín Chico,2
Geotria,2
Mordacia,2
Crisoficeas,2
Cometocino de gay,2
Mero grande,2
Platero,2
Tucúquere,2
Churrín del norte,2
Perdíz,2
Garza Chica,2
Churrin del norte,2
Lagartija Lemniscata,2
Cernicalo,2
LARVA ZOEA,2
LARVA DE PEZ,2
Cormorán de las rocas,2
Cormorán lile,2
Lobo marino comúm,2
Fardela negra,2
Petrel gigante subantártico,2
Yunco,2
Albatros de ceja negra,2
Duica,2
Lagarto Chileno,2
Jergón grande,2
Jergón chico,2
cangrejo,2
Cangrejo,2
murciélago cola de ratón,2
Murcielago colorado o rojo,2
Garza,2
Canastero austral?,2
Bailarin chico,2
camarón de vega,2
Bandurria común,2
traro,2
tagüa,2
pato jergón chico,2
viudita,2
mirlo,2
Lobo marino común,2
Concón,2
Chinita,2
Chicharrita,2
Sirfidos,2
Abeja,2
